"TIME_PERIOD";"GEO";"AGE";"SEX";"OBS_STATUS";"OBS_VALUE"
"2021-W09";"CH023";"Y_GE90";"T";"P";13
"2021-W09";"CH023";"Y_GE90";"F";"P";11
"2021-W09";"CH023";"Y_GE90";"M";"P";2
"2021-W09";"CH024";"_T";"T";"P";33
"2021-W09";"CH024";"_T";"F";"P";21
"2021-W09";"CH024";"_T";"M";"P";12
"2021-W09";"CH024";"Y55T59";"T";"P";1
"2021-W09";"CH024";"Y55T59";"M";"P";1
"2021-W09";"CH024";"Y60T64";"T";"P";1
"2021-W09";"CH024";"Y60T64";"F";"P";1
"2021-W09";"CH024";"Y65T69";"T";"P";4
"2021-W09";"CH024";"Y65T69";"F";"P";2
"2021-W09";"CH024";"Y65T69";"M";"P";2
"2021-W09";"CH024";"Y75T79";"T";"P";7
"2021-W09";"CH024";"Y75T79";"F";"P";4
"2021-W09";"CH024";"Y75T79";"M";"P";3
"2021-W09";"CH024";"Y80T84";"T";"P";3
"2021-W09";"CH024";"Y80T84";"F";"P";2
"2021-W09";"CH024";"Y80T84";"M";"P";1
"2021-W09";"CH024";"Y85T89";"T";"P";5
"2021-W09";"CH024";"Y85T89";"F";"P";5
"2021-W09";"CH024";"Y_GE90";"T";"P";12
"2021-W09";"CH024";"Y_GE90";"F";"P";7
"2021-W09";"CH024";"Y_GE90";"M";"P";5
"2021-W09";"CH025";"_T";"T";"P";14
"2021-W09";"CH025";"_T";"F";"P";9
"2021-W09";"CH025";"_T";"M";"P";5
"2021-W09";"CH025";"Y55T59";"T";"P";1
"2021-W09";"CH025";"Y55T59";"F";"P";1
"2021-W09";"CH025";"Y60T64";"T";"P";1
"2021-W09";"CH025";"Y60T64";"F";"P";1
"2021-W09";"CH025";"Y65T69";"T";"P";2
"2021-W09";"CH025";"Y65T69";"F";"P";1
"2021-W09";"CH025";"Y65T69";"M";"P";1
"2021-W09";"CH025";"Y70T74";"T";"P";2
"2021-W09";"CH025";"Y70T74";"F";"P";1
"2021-W09";"CH025";"Y70T74";"M";"P";1
"2021-W09";"CH025";"Y80T84";"T";"P";1
"2021-W09";"CH025";"Y80T84";"M";"P";1
"2021-W09";"CH025";"Y85T89";"T";"P";1
"2021-W09";"CH025";"Y85T89";"M";"P";1
"2021-W09";"CH025";"Y_GE90";"T";"P";6
"2021-W09";"CH025";"Y_GE90";"F";"P";5
"2021-W09";"CH025";"Y_GE90";"M";"P";1
"2021-W09";"CH031";"_T";"T";"P";33
"2021-W09";"CH031";"_T";"F";"P";17
"2021-W09";"CH031";"_T";"M";"P";16
"2021-W09";"CH031";"Y60T64";"T";"P";1
"2021-W09";"CH031";"Y60T64";"M";"P";1
"2021-W09";"CH031";"Y65T69";"T";"P";3
"2021-W09";"CH031";"Y65T69";"F";"P";1
"2021-W09";"CH031";"Y65T69";"M";"P";2
"2021-W09";"CH031";"Y70T74";"T";"P";4
"2021-W09";"CH031";"Y70T74";"F";"P";1
"2021-W09";"CH031";"Y70T74";"M";"P";3
"2021-W09";"CH031";"Y75T79";"T";"P";5
"2021-W09";"CH031";"Y75T79";"F";"P";3
"2021-W09";"CH031";"Y75T79";"M";"P";2
"2021-W09";"CH031";"Y80T84";"T";"P";4
"2021-W09";"CH031";"Y80T84";"M";"P";4
"2021-W09";"CH031";"Y85T89";"T";"P";3
"2021-W09";"CH031";"Y85T89";"F";"P";3
"2021-W09";"CH031";"Y_GE90";"T";"P";13
"2021-W09";"CH031";"Y_GE90";"F";"P";9
"2021-W09";"CH031";"Y_GE90";"M";"P";4
"2021-W09";"CH032";"_T";"T";"P";39
"2021-W09";"CH032";"_T";"F";"P";20
"2021-W09";"CH032";"_T";"M";"P";19
"2021-W09";"CH032";"Y20T24";"T";"P";1
"2021-W09";"CH032";"Y20T24";"F";"P";1
"2021-W09";"CH032";"Y60T64";"T";"P";1
"2021-W09";"CH032";"Y60T64";"M";"P";1
"2021-W09";"CH032";"Y70T74";"T";"P";1
"2021-W09";"CH032";"Y70T74";"M";"P";1
"2021-W09";"CH032";"Y75T79";"T";"P";6
"2021-W09";"CH032";"Y75T79";"F";"P";2
"2021-W09";"CH032";"Y75T79";"M";"P";4
"2021-W09";"CH032";"Y80T84";"T";"P";4
"2021-W09";"CH032";"Y80T84";"F";"P";3
"2021-W09";"CH032";"Y80T84";"M";"P";1
"2021-W09";"CH032";"Y85T89";"T";"P";12
"2021-W09";"CH032";"Y85T89";"F";"P";4
"2021-W09";"CH032";"Y85T89";"M";"P";8
"2021-W09";"CH032";"Y_GE90";"T";"P";14
"2021-W09";"CH032";"Y_GE90";"F";"P";10
"2021-W09";"CH032";"Y_GE90";"M";"P";4
"2021-W09";"CH033";"_T";"T";"P";99
"2021-W09";"CH033";"_T";"F";"P";51
"2021-W09";"CH033";"_T";"M";"P";48
"2021-W09";"CH033";"Y0T4";"T";"P";1
