"sex","geoRegion","datum","entries","sumTotal","freq","prct","pop","inz_entries","inzsumTotal","type","type_variant","version","datum_unit","datum_dboardformated","timeframe_all","timeframe_phase2","timeframe_phase2b","timeframe_28d","timeframe_14d"
"male","CH",202042,24,1089,0.533,53.3,4268863,0.56,25.51,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-42",TRUE,TRUE,TRUE,FALSE,FALSE
"male","CH",202043,72,1161,0.507,50.7,4268863,1.69,27.2,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-43",TRUE,TRUE,TRUE,FALSE,FALSE
"male","CH",202044,182,1343,0.574,57.4,4268863,4.26,31.46,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-44",TRUE,TRUE,TRUE,FALSE,FALSE
"male","CH",202045,311,1654,0.569,56.9,4268863,7.29,38.75,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-45",TRUE,TRUE,TRUE,FALSE,FALSE
"male","CH",202046,302,1956,0.5,50,4268863,7.07,45.82,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-46",TRUE,TRUE,TRUE,FALSE,FALSE
"male","CH",202047,325,2281,0.547,54.7,4268863,7.61,53.43,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-47",TRUE,TRUE,TRUE,FALSE,FALSE
"male","CH",202048,330,2611,0.548,54.8,4268863,7.73,61.16,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-48",TRUE,TRUE,TRUE,FALSE,FALSE
"male","CH",202049,301,2912,0.514,51.4,4268863,7.05,68.21,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-49",TRUE,TRUE,TRUE,FALSE,FALSE
"male","CH",202050,304,3216,0.514,51.4,4268863,7.12,75.34,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-50",TRUE,TRUE,TRUE,FALSE,FALSE
"male","CH",202051,303,3519,0.485,48.5,4268863,7.1,82.43,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-51",TRUE,TRUE,TRUE,FALSE,FALSE
"male","CH",202052,298,3817,0.51,51,4268863,6.98,89.41,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-52",TRUE,TRUE,TRUE,FALSE,FALSE
"male","CH",202053,268,4085,0.513,51.3,4268863,6.28,95.69,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-53",TRUE,TRUE,TRUE,FALSE,FALSE
"male","CH",202101,227,4312,0.565,56.5,4268863,5.32,101.01,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2021-01",TRUE,TRUE,TRUE,FALSE,FALSE
"male","CH",202102,202,4514,0.572,57.2,4268863,4.73,105.74,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2021-02",TRUE,TRUE,TRUE,FALSE,FALSE
"male","CH",202103,158,4672,0.495,49.5,4268863,3.7,109.44,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2021-03",TRUE,TRUE,TRUE,FALSE,FALSE
"male","CH",202104,118,4790,0.536,53.6,4268863,2.76,112.21,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2021-04",TRUE,TRUE,TRUE,FALSE,FALSE
"male","CH",202105,72,4862,0.468,46.8,4268863,1.69,113.89,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2021-05",TRUE,TRUE,TRUE,FALSE,FALSE
"male","CH",202106,70,4932,0.574,57.4,4268863,1.64,115.53,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2021-06",TRUE,TRUE,TRUE,FALSE,FALSE
"male","CH",202107,38,4970,0.469,46.9,4268863,0.89,116.42,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2021-07",TRUE,TRUE,TRUE,FALSE,FALSE
