"geoRegion","geoLevel","quarantineStart","quarantineEnd","type","version"
"DEB","NUTS-1",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"DEC","NUTS-1",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"DED","NUTS-1",2020-12-28,2021-02-11,"COVID19IntQua","2021-03-24_00-00-00"
"DEE","NUTS-1",2021-02-22,2021-02-25,"COVID19IntQua","2021-03-24_00-00-00"
"DEF","NUTS-1",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"DEG","NUTS-1",2021-03-22,NA,"COVID19IntQua","2021-03-24_00-00-00"
"DJ","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"DK","ISO2",2021-01-15,2021-01-21,"COVID19IntQua","2021-03-24_00-00-00"
"DM","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"DO","ISO2",2020-07-06,2020-10-12,"COVID19IntQua","2021-03-24_00-00-00"
"DZ","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"EC","ISO2",2020-09-28,2020-10-29,"COVID19IntQua","2021-03-24_00-00-00"
"EE","ISO2",2021-02-01,NA,"COVID19IntQua","2021-03-24_00-00-00"
"EG","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"EH","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"ER","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"ES","ISO2",2021-02-01,2021-03-11,"COVID19IntQua","2021-03-24_00-00-00"
"ET","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"FI","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"FJ","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"FK","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"FM","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"FO","ISO2",2020-08-20,2020-09-14,"COVID19IntQua","2021-03-24_00-00-00"
"FR1","NUTS-1",2021-02-22,NA,"COVID19IntQua","2021-03-24_00-00-00"
"FRB","NUTS-1",2021-02-22,NA,"COVID19IntQua","2021-03-24_00-00-00"
"FRC","NUTS-1",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"FRD","NUTS-1",2021-02-22,NA,"COVID19IntQua","2021-03-24_00-00-00"
"FRE","NUTS-1",2021-02-22,NA,"COVID19IntQua","2021-03-24_00-00-00"
"FRF","NUTS-1",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"FRG","NUTS-1",2021-02-22,NA,"COVID19IntQua","2021-03-24_00-00-00"
"FRH","NUTS-1",2020-09-28,2020-10-29,"COVID19IntQua","2021-03-24_00-00-00"
"FRI","NUTS-1",2021-02-22,2021-03-25,"COVID19IntQua","2021-03-24_00-00-00"
"FRJ","NUTS-1",2021-02-22,NA,"COVID19IntQua","2021-03-24_00-00-00"
"FRK","NUTS-1",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"FRL","NUTS-1",2021-02-01,NA,"COVID19IntQua","2021-03-24_00-00-00"
"FRM","NUTS-1",2021-03-22,NA,"COVID19IntQua","2021-03-24_00-00-00"
"FRY","NUTS-1",2020-09-14,2020-10-29,"COVID19IntQua","2021-03-24_00-00-00"
"GA","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"GB","ISO2",2020-12-14,2021-03-25,"COVID19IntQua","2021-03-24_00-00-00"
"GD","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"GE","ISO2",2020-12-14,2021-01-21,"COVID19IntQua","2021-03-24_00-00-00"
"GF","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"GG","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"GH","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"GI","ISO2",2020-08-20,2020-10-29,"COVID19IntQua","2021-03-24_00-00-00"
"GL","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"GM","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"GN","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"GP","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"GQ","ISO2",2020-08-08,2020-08-20,"COVID19IntQua","2021-03-24_00-00-00"
"GR","ISO2",2021-04-05,NA,"COVID19IntQua","2021-03-24_00-00-00"
"GS","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"GT","ISO2",2020-07-23,2020-09-14,"COVID19IntQua","2021-03-24_00-00-00"
"GU","ISO2",2020-08-20,2020-10-29,"COVID19IntQua","2021-03-24_00-00-00"
"GW","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"GY","ISO2",2020-09-07,2020-10-29,"COVID19IntQua","2021-03-24_00-00-00"
"HK","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"HM","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"HN","ISO2",2020-07-06,2020-10-29,"COVID19IntQua","2021-03-24_00-00-00"
"HR","ISO2",2020-12-14,2021-01-21,"COVID19IntQua","2021-03-24_00-00-00"
"HT","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
