"date","geoRegion","ICU_AllPatients","ICU_Covid19Patients","ICU_Capacity","Total_AllPatients","Total_Covid19Patients","Total_Capacity","ICU_NonCovid19Patients","ICU_FreeCapacity","Total_NonCovid19Patients","Total_FreeCapacity","timeframe_14d","timeframe_28d","timeframe_phase2","timeframe_phase2b","timeframe_all","Total_Capacity_mean15d","Total_AllPatients_mean15d","Total_Covid19Patients_mean15d","Total_NonCovid19Patients_mean15d","Total_FreeCapacity_mean15d","ICU_Capacity_mean15d","ICU_AllPatients_mean15d","ICU_Covid19Patients_mean15d","ICU_NonCovid19Patients_mean15d","ICU_FreeCapacity_mean15d","type_variant","ICUPercent_AllPatients","ICUPercent_NonCovid19Patients","ICUPercent_Covid19Patients","ICUPercent_FreeCapacity","ICUPercent_Capacity","TotalPercent_AllPatients","TotalPercent_NonCovid19Patients","TotalPercent_Covid19Patients","TotalPercent_FreeCapacity","TotalPercent_Capacity","type","version"
2020-10-14,"NW",5,0,6,66,0,82,5,1,66,16,FALSE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nfp",83.3,83.3,0,16.7,100,80.5,80.5,0,19.5,100,"COVID19HospCapacity","2021-03-24_08-05-44"
2020-10-14,"OW",0,0,0,46,1,67,0,0,45,21,FALSE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nfp",NA,NA,NA,NA,NA,68.7,67.2,1.5,31.3,100,"COVID19HospCapacity","2021-03-24_08-05-44"
2020-10-14,"SG",42,6,55,939,20,1118,36,13,919,179,FALSE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nfp",76.4,65.5,10.9,23.6,100,84,82.2,1.8,16,100,"COVID19HospCapacity","2021-03-24_08-05-44"
2020-10-14,"SH",5,0,8,125,8,151,5,3,117,26,FALSE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nfp",62.5,62.5,0,37.5,100,82.8,77.5,5.3,17.2,100,"COVID19HospCapacity","2021-03-24_08-05-44"
2020-10-14,"SO",13,1,15,417,6,516,12,2,411,99,FALSE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nfp",86.7,80,6.7,13.3,100,80.8,79.7,1.2,19.2,100,"COVID19HospCapacity","2021-03-24_08-05-44"
2020-10-14,"SZ",7,2,11,190,21,246,5,4,169,56,FALSE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nfp",63.6,45.5,18.2,36.4,100,77.2,68.7,8.5,22.8,100,"COVID19HospCapacity","2021-03-24_08-05-44"
2020-10-14,"TG",21,1,37,48,7,125,20,16,41,77,FALSE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nfp",56.8,54.1,2.7,43.2,100,38.4,32.8,5.6,61.6,100,"COVID19HospCapacity","2021-03-24_08-05-44"
2020-10-14,"TI",31,0,60,728,2,840,31,29,726,112,FALSE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nfp",51.7,51.7,0,48.3,100,86.7,86.4,0.2,13.3,100,"COVID19HospCapacity","2021-03-24_08-05-44"
2020-10-14,"UR",3,0,6,53,2,81,3,3,51,28,FALSE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nfp",50,50,0,50,100,65.4,63,2.5,34.6,100,"COVID19HospCapacity","2021-03-24_08-05-44"
2020-10-14,"VD",57,5,83,1158,54,1628,52,26,1104,470,FALSE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nfp",68.7,62.7,6,31.3,100,71.1,67.8,3.3,28.9,100,"COVID19HospCapacity","2021-03-24_08-05-44"
2020-10-14,"VS",14,2,27,261,4,318,12,13,257,57,FALSE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nfp",51.9,44.4,7.4,48.1,100,82.1,80.8,1.3,17.9,100,"COVID19HospCapacity","2021-03-24_08-05-44"
2020-10-14,"ZG",3,1,8,125,9,180,2,5,116,55,FALSE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nfp",37.5,25,12.5,62.5,100,69.4,64.4,5,30.6,100,"COVID19HospCapacity","2021-03-24_08-05-44"
2020-10-14,"ZH",190,7,304,3353,48,3998,183,114,3305,645,FALSE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nfp",62.5,60.2,2.3,37.5,100,83.9,82.7,1.2,16.1,100,"COVID19HospCapacity","2021-03-24_08-05-44"
2020-10-15,"AG",38,2,50,753,13,1343,36,12,740,590,FALSE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nfp",76,72,4,24,100,56.1,55.1,1,43.9,100,"COVID19HospCapacity","2021-03-24_08-05-44"
