"date","geoRegion","altersklasse_covid19","entries","type_variant","pop","sumTotal","per100Persons","per100Persons_mean7d","per100PersonsTotal","mean7d","type","version","granularity","freq","prct"
202102,"GE","80+",2655,"altersklasse_covid19",25778,4022,10.3,6.21,15.6,1600.14,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.59,59
202103,"GE","80+",2576,"altersklasse_covid19",25778,6598,9.99,8.82,25.6,2273.71,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.546,54.6
202104,"GE","80+",2310,"altersklasse_covid19",25778,8908,8.96,11.33,34.56,2920.43,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.398,39.8
202105,"GE","80+",2293,"altersklasse_covid19",25778,11201,8.9,12.8,43.45,3298.43,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.419,41.9
202106,"GE","80+",4715,"altersklasse_covid19",25778,15916,18.29,12.46,61.74,3212.71,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.559,55.9
202107,"GE","80+",4559,"altersklasse_covid19",25778,20475,17.69,12.55,79.43,3233.86,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.53,53
202108,"GE","80+",3981,"altersklasse_covid19",25778,24456,15.44,12.62,94.87,3254.14,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.391,39.1
202109,"GE","80+",2055,"altersklasse_covid19",25778,26511,7.97,NA,102.84,NA,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.194,19.4
202110,"GE","80+",2724,"altersklasse_covid19",25778,29235,10.57,NA,113.41,NA,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.285,28.5
202111,"GE","80+",2452,"altersklasse_covid19",25778,31687,9.51,NA,122.92,NA,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.22,22
202052,"GR","0 - 9",0,"altersklasse_covid19",17435,0,0,NA,0,NA,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",NA,NA
202053,"GR","0 - 9",0,"altersklasse_covid19",17435,0,0,NA,0,NA,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",NA,NA
202101,"GR","0 - 9",0,"altersklasse_covid19",17435,0,0,NA,0,NA,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0,0
202102,"GR","0 - 9",1,"altersklasse_covid19",17435,1,0.01,0,0.01,0.29,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.001,0.1
