Provincias;Sexo;Edad (grupos quinquenales);Tipo de dato;Periodo;Total
Total Nacional;Total;De 35 a 39 años;Dato base;2020SM13;42
Total Nacional;Total;De 35 a 39 años;Dato base;2020SM12;42
Total Nacional;Total;De 35 a 39 años;Dato base;2020SM11;36
Total Nacional;Total;De 35 a 39 años;Dato base;2020SM10;34
Total Nacional;Total;De 35 a 39 años;Dato base;2020SM09;38
Total Nacional;Total;De 35 a 39 años;Dato base;2020SM08;37
Total Nacional;Total;De 35 a 39 años;Dato base;2020SM07;31
Total Nacional;Total;De 35 a 39 años;Dato base;2020SM06;36
Total Nacional;Total;De 35 a 39 años;Dato base;2020SM05;47
Total Nacional;Total;De 35 a 39 años;Dato base;2020SM04;26
Total Nacional;Total;De 35 a 39 años;Dato base;2020SM03;45
Total Nacional;Total;De 35 a 39 años;Dato base;2020SM02;32
Total Nacional;Total;De 35 a 39 años;Dato base;2020SM01;39
Total Nacional;Total;De 40 a 44 años;Dato base;2020SM53;72
Total Nacional;Total;De 40 a 44 años;Dato base;2020SM52;60
Total Nacional;Total;De 40 a 44 años;Dato base;2020SM51;71
Total Nacional;Total;De 40 a 44 años;Dato base;2020SM50;65
Total Nacional;Total;De 40 a 44 años;Dato base;2020SM49;67
Total Nacional;Total;De 40 a 44 años;Dato base;2020SM48;58
Total Nacional;Total;De 40 a 44 años;Dato base;2020SM47;82
Total Nacional;Total;De 40 a 44 años;Dato base;2020SM46;71
Total Nacional;Total;De 40 a 44 años;Dato base;2020SM45;79
Total Nacional;Total;De 40 a 44 años;Dato base;2020SM44;62
Total Nacional;Total;De 40 a 44 años;Dato base;2020SM43;78
Total Nacional;Total;De 40 a 44 años;Dato base;2020SM42;67
Total Nacional;Total;De 40 a 44 años;Dato base;2020SM41;68
Total Nacional;Total;De 40 a 44 años;Dato base;2020SM40;62
Total Nacional;Total;De 40 a 44 años;Dato base;2020SM39;80
Total Nacional;Total;De 40 a 44 años;Dato base;2020SM38;83
Total Nacional;Total;De 40 a 44 años;Dato base;2020SM37;71
Total Nacional;Total;De 40 a 44 años;Dato base;2020SM36;68
Total Nacional;Total;De 40 a 44 años;Dato base;2020SM35;74
Total Nacional;Total;De 40 a 44 años;Dato base;2020SM34;69
Total Nacional;Total;De 40 a 44 años;Dato base;2020SM33;64
Total Nacional;Total;De 40 a 44 años;Dato base;2020SM32;73
Total Nacional;Total;De 40 a 44 años;Dato base;2020SM31;80
Total Nacional;Total;De 40 a 44 años;Dato base;2020SM30;55
Total Nacional;Total;De 40 a 44 años;Dato base;2020SM29;66
Total Nacional;Total;De 40 a 44 años;Dato base;2020SM28;65
Total Nacional;Total;De 40 a 44 años;Dato base;2020SM27;73
Total Nacional;Total;De 40 a 44 años;Dato base;2020SM26;57
Total Nacional;Total;De 40 a 44 años;Dato base;2020SM25;49
Total Nacional;Total;De 40 a 44 años;Dato base;2020SM24;54
Total Nacional;Total;De 40 a 44 años;Dato base;2020SM23;69
Total Nacional;Total;De 40 a 44 años;Dato base;2020SM22;57
Total Nacional;Total;De 40 a 44 años;Dato base;2020SM21;48
Total Nacional;Total;De 40 a 44 años;Dato base;2020SM20;65
Total Nacional;Total;De 40 a 44 años;Dato base;2020SM19;65
Total Nacional;Total;De 40 a 44 años;Dato base;2020SM18;62
Total Nacional;Total;De 40 a 44 años;Dato base;2020SM17;62
Total Nacional;Total;De 40 a 44 años;Dato base;2020SM16;53
Total Nacional;Total;De 40 a 44 años;Dato base;2020SM15;71
Total Nacional;Total;De 40 a 44 años;Dato base;2020SM14;68
Total Nacional;Total;De 40 a 44 años;Dato base;2020SM13;79
Total Nacional;Total;De 40 a 44 años;Dato base;2020SM12;69
Total Nacional;Total;De 40 a 44 años;Dato base;2020SM11;49
Total Nacional;Total;De 40 a 44 años;Dato base;2020SM10;58
Total Nacional;Total;De 40 a 44 años;Dato base;2020SM09;55
Total Nacional;Total;De 40 a 44 años;Dato base;2020SM08;70
Total Nacional;Total;De 40 a 44 años;Dato base;2020SM07;63
Total Nacional;Total;De 40 a 44 años;Dato base;2020SM06;69
Total Nacional;Total;De 40 a 44 años;Dato base;2020SM05;76
Total Nacional;Total;De 40 a 44 años;Dato base;2020SM04;63
Total Nacional;Total;De 40 a 44 años;Dato base;2020SM03;54
Total Nacional;Total;De 40 a 44 años;Dato base;2020SM02;62
Total Nacional;Total;De 40 a 44 años;Dato base;2020SM01;79
Total Nacional;Total;De 45 a 49 años;Dato base;2020SM53;115
Total Nacional;Total;De 45 a 49 años;Dato base;2020SM52;102
Total Nacional;Total;De 45 a 49 años;Dato base;2020SM51;103
Total Nacional;Total;De 45 a 49 años;Dato base;2020SM50;126
Total Nacional;Total;De 45 a 49 años;Dato base;2020SM49;125
Total Nacional;Total;De 45 a 49 años;Dato base;2020SM48;112
Total Nacional;Total;De 45 a 49 años;Dato base;2020SM47;81
Total Nacional;Total;De 45 a 49 años;Dato base;2020SM46;112
Total Nacional;Total;De 45 a 49 años;Dato base;2020SM45;117
Total Nacional;Total;De 45 a 49 años;Dato base;2020SM44;111
Total Nacional;Total;De 45 a 49 años;Dato base;2020SM43;144
Total Nacional;Total;De 45 a 49 años;Dato base;2020SM42;126
Total Nacional;Total;De 45 a 49 años;Dato base;2020SM41;118
Total Nacional;Total;De 45 a 49 años;Dato base;2020SM40;132
Total Nacional;Total;De 45 a 49 años;Dato base;2020SM39;121
Total Nacional;Total;De 45 a 49 años;Dato base;2020SM38;116
Total Nacional;Total;De 45 a 49 años;Dato base;2020SM37;124
Total Nacional;Total;De 45 a 49 años;Dato base;2020SM36;100
Total Nacional;Total;De 45 a 49 años;Dato base;2020SM35;121
Total Nacional;Total;De 45 a 49 años;Dato base;2020SM34;124
Total Nacional;Total;De 45 a 49 años;Dato base;2020SM33;108
Total Nacional;Total;De 45 a 49 años;Dato base;2020SM32;111
Total Nacional;Total;De 45 a 49 años;Dato base;2020SM31;111
Total Nacional;Total;De 45 a 49 años;Dato base;2020SM30;98
Total Nacional;Total;De 45 a 49 años;Dato base;2020SM29;99
Total Nacional;Total;De 45 a 49 años;Dato base;2020SM28;119
Total Nacional;Total;De 45 a 49 años;Dato base;2020SM27;96
Total Nacional;Total;De 45 a 49 años;Dato base;2020SM26;97
Total Nacional;Total;De 45 a 49 años;Dato base;2020SM25;95
Total Nacional;Total;De 45 a 49 años;Dato base;2020SM24;100
Total Nacional;Total;De 45 a 49 años;Dato base;2020SM23;99
Total Nacional;Total;De 45 a 49 años;Dato base;2020SM22;113
Total Nacional;Total;De 45 a 49 años;Dato base;2020SM21;96
Total Nacional;Total;De 45 a 49 años;Dato base;2020SM20;94
Total Nacional;Total;De 45 a 49 años;Dato base;2020SM19;114
Total Nacional;Total;De 45 a 49 años;Dato base;2020SM18;99
Total Nacional;Total;De 45 a 49 años;Dato base;2020SM17;85
Total Nacional;Total;De 45 a 49 años;Dato base;2020SM16;129
Total Nacional;Total;De 45 a 49 años;Dato base;2020SM15;134
Total Nacional;Total;De 45 a 49 años;Dato base;2020SM14;148
Total Nacional;Total;De 45 a 49 años;Dato base;2020SM13;164
Total Nacional;Total;De 45 a 49 años;Dato base;2020SM12;144
Total Nacional;Total;De 45 a 49 años;Dato base;2020SM11;121
Total Nacional;Total;De 45 a 49 años;Dato base;2020SM10;114
Total Nacional;Total;De 45 a 49 años;Dato base;2020SM09;118
Total Nacional;Total;De 45 a 49 años;Dato base;2020SM08;113
Total Nacional;Total;De 45 a 49 años;Dato base;2020SM07;98
Total Nacional;Total;De 45 a 49 años;Dato base;2020SM06;101
Total Nacional;Total;De 45 a 49 años;Dato base;2020SM05;142
Total Nacional;Total;De 45 a 49 años;Dato base;2020SM04;119
Total Nacional;Total;De 45 a 49 años;Dato base;2020SM03;117
Total Nacional;Total;De 45 a 49 años;Dato base;2020SM02;106
Total Nacional;Total;De 45 a 49 años;Dato base;2020SM01;107
Total Nacional;Total;De 50 a 54 años;Dato base;2020SM53;185
Total Nacional;Total;De 50 a 54 años;Dato base;2020SM52;186
Total Nacional;Total;De 50 a 54 años;Dato base;2020SM51;227
Total Nacional;Total;De 50 a 54 años;Dato base;2020SM50;192
Total Nacional;Total;De 50 a 54 años;Dato base;2020SM49;181
Total Nacional;Total;De 50 a 54 años;Dato base;2020SM48;215
Total Nacional;Total;De 50 a 54 años;Dato base;2020SM47;210
Total Nacional;Total;De 50 a 54 años;Dato base;2020SM46;190
Total Nacional;Total;De 50 a 54 años;Dato base;2020SM45;190
Total Nacional;Total;De 50 a 54 años;Dato base;2020SM44;169
Total Nacional;Total;De 50 a 54 años;Dato base;2020SM43;218
Total Nacional;Total;De 50 a 54 años;Dato base;2020SM42;197
Total Nacional;Total;De 50 a 54 años;Dato base;2020SM41;191
Total Nacional;Total;De 50 a 54 años;Dato base;2020SM40;205
Total Nacional;Total;De 50 a 54 años;Dato base;2020SM39;184
Total Nacional;Total;De 50 a 54 años;Dato base;2020SM38;231
Total Nacional;Total;De 50 a 54 años;Dato base;2020SM37;177
Total Nacional;Total;De 50 a 54 años;Dato base;2020SM36;214
Total Nacional;Total;De 50 a 54 años;Dato base;2020SM35;215
Total Nacional;Total;De 50 a 54 años;Dato base;2020SM34;197
Total Nacional;Total;De 50 a 54 años;Dato base;2020SM33;204
Total Nacional;Total;De 50 a 54 años;Dato base;2020SM32;208
Total Nacional;Total;De 50 a 54 años;Dato base;2020SM31;208
Total Nacional;Total;De 50 a 54 años;Dato base;2020SM30;188
Total Nacional;Total;De 50 a 54 años;Dato base;2020SM29;196
Total Nacional;Total;De 50 a 54 años;Dato base;2020SM28;178
Total Nacional;Total;De 50 a 54 años;Dato base;2020SM27;171
Total Nacional;Total;De 50 a 54 años;Dato base;2020SM26;173
Total Nacional;Total;De 50 a 54 años;Dato base;2020SM25;176
Total Nacional;Total;De 50 a 54 años;Dato base;2020SM24;167
Total Nacional;Total;De 50 a 54 años;Dato base;2020SM23;169
Total Nacional;Total;De 50 a 54 años;Dato base;2020SM22;192
Total Nacional;Total;De 50 a 54 años;Dato base;2020SM21;177
Total Nacional;Total;De 50 a 54 años;Dato base;2020SM20;173
Total Nacional;Total;De 50 a 54 años;Dato base;2020SM19;182
Total Nacional;Total;De 50 a 54 años;Dato base;2020SM18;181
Total Nacional;Total;De 50 a 54 años;Dato base;2020SM17;171
Total Nacional;Total;De 50 a 54 años;Dato base;2020SM16;219
Total Nacional;Total;De 50 a 54 años;Dato base;2020SM15;213
Total Nacional;Total;De 50 a 54 años;Dato base;2020SM14;274
Total Nacional;Total;De 50 a 54 años;Dato base;2020SM13;260
Total Nacional;Total;De 50 a 54 años;Dato base;2020SM12;240
Total Nacional;Total;De 50 a 54 años;Dato base;2020SM11;201
Total Nacional;Total;De 50 a 54 años;Dato base;2020SM10;171
Total Nacional;Total;De 50 a 54 años;Dato base;2020SM09;193
Total Nacional;Total;De 50 a 54 años;Dato base;2020SM08;190
Total Nacional;Total;De 50 a 54 años;Dato base;2020SM07;161
Total Nacional;Total;De 50 a 54 años;Dato base;2020SM06;201
Total Nacional;Total;De 50 a 54 años;Dato base;2020SM05;209
Total Nacional;Total;De 50 a 54 años;Dato base;2020SM04;194
Total Nacional;Total;De 50 a 54 años;Dato base;2020SM03;212
Total Nacional;Total;De 50 a 54 años;Dato base;2020SM02;207
Total Nacional;Total;De 50 a 54 años;Dato base;2020SM01;198
Total Nacional;Total;De 55 a 59 años;Dato base;2020SM53;323
Total Nacional;Total;De 55 a 59 años;Dato base;2020SM52;306
Total Nacional;Total;De 55 a 59 años;Dato base;2020SM51;262
Total Nacional;Total;De 55 a 59 años;Dato base;2020SM50;307
Total Nacional;Total;De 55 a 59 años;Dato base;2020SM49;324
Total Nacional;Total;De 55 a 59 años;Dato base;2020SM48;283
Total Nacional;Total;De 55 a 59 años;Dato base;2020SM47;284
Total Nacional;Total;De 55 a 59 años;Dato base;2020SM46;320
Total Nacional;Total;De 55 a 59 años;Dato base;2020SM45;339
Total Nacional;Total;De 55 a 59 años;Dato base;2020SM44;333
Total Nacional;Total;De 55 a 59 años;Dato base;2020SM43;307
Total Nacional;Total;De 55 a 59 años;Dato base;2020SM42;264
Total Nacional;Total;De 55 a 59 años;Dato base;2020SM41;347
Total Nacional;Total;De 55 a 59 años;Dato base;2020SM40;297
Total Nacional;Total;De 55 a 59 años;Dato base;2020SM39;295
Total Nacional;Total;De 55 a 59 años;Dato base;2020SM38;273
Total Nacional;Total;De 55 a 59 años;Dato base;2020SM37;282
Total Nacional;Total;De 55 a 59 años;Dato base;2020SM36;311
Total Nacional;Total;De 55 a 59 años;Dato base;2020SM35;302
Total Nacional;Total;De 55 a 59 años;Dato base;2020SM34;266
Total Nacional;Total;De 55 a 59 años;Dato base;2020SM33;290
Total Nacional;Total;De 55 a 59 años;Dato base;2020SM32;278
Total Nacional;Total;De 55 a 59 años;Dato base;2020SM31;326
Total Nacional;Total;De 55 a 59 años;Dato base;2020SM30;294
Total Nacional;Total;De 55 a 59 años;Dato base;2020SM29;281
Total Nacional;Total;De 55 a 59 años;Dato base;2020SM28;304
Total Nacional;Total;De 55 a 59 años;Dato base;2020SM27;284
Total Nacional;Total;De 55 a 59 años;Dato base;2020SM26;269
Total Nacional;Total;De 55 a 59 años;Dato base;2020SM25;236
Total Nacional;Total;De 55 a 59 años;Dato base;2020SM24;259
Total Nacional;Total;De 55 a 59 años;Dato base;2020SM23;242
Total Nacional;Total;De 55 a 59 años;Dato base;2020SM22;287
Total Nacional;Total;De 55 a 59 años;Dato base;2020SM21;276
Total Nacional;Total;De 55 a 59 años;Dato base;2020SM20;266
Total Nacional;Total;De 55 a 59 años;Dato base;2020SM19;279
Total Nacional;Total;De 55 a 59 años;Dato base;2020SM18;271
Total Nacional;Total;De 55 a 59 años;Dato base;2020SM17;309
Total Nacional;Total;De 55 a 59 años;Dato base;2020SM16;362
Total Nacional;Total;De 55 a 59 años;Dato base;2020SM15;353
Total Nacional;Total;De 55 a 59 años;Dato base;2020SM14;434
Total Nacional;Total;De 55 a 59 años;Dato base;2020SM13;439
Total Nacional;Total;De 55 a 59 años;Dato base;2020SM12;356
Total Nacional;Total;De 55 a 59 años;Dato base;2020SM11;293
Total Nacional;Total;De 55 a 59 años;Dato base;2020SM10;271
Total Nacional;Total;De 55 a 59 años;Dato base;2020SM09;260
Total Nacional;Total;De 55 a 59 años;Dato base;2020SM08;303
Total Nacional;Total;De 55 a 59 años;Dato base;2020SM07;296
Total Nacional;Total;De 55 a 59 años;Dato base;2020SM06;287
Total Nacional;Total;De 55 a 59 años;Dato base;2020SM05;304
Total Nacional;Total;De 55 a 59 años;Dato base;2020SM04;313
Total Nacional;Total;De 55 a 59 años;Dato base;2020SM03;338
Total Nacional;Total;De 55 a 59 años;Dato base;2020SM02;281
Total Nacional;Total;De 55 a 59 años;Dato base;2020SM01;268
Total Nacional;Total;De 60 a 64 años;Dato base;2020SM53;447
Total Nacional;Total;De 60 a 64 años;Dato base;2020SM52;452
Total Nacional;Total;De 60 a 64 años;Dato base;2020SM51;474
Total Nacional;Total;De 60 a 64 años;Dato base;2020SM50;453
Total Nacional;Total;De 60 a 64 años;Dato base;2020SM49;425
Total Nacional;Total;De 60 a 64 años;Dato base;2020SM48;450
Total Nacional;Total;De 60 a 64 años;Dato base;2020SM47;449
Total Nacional;Total;De 60 a 64 años;Dato base;2020SM46;488
Total Nacional;Total;De 60 a 64 años;Dato base;2020SM45;469
Total Nacional;Total;De 60 a 64 años;Dato base;2020SM44;501
Total Nacional;Total;De 60 a 64 años;Dato base;2020SM43;418
Total Nacional;Total;De 60 a 64 años;Dato base;2020SM42;431
Total Nacional;Total;De 60 a 64 años;Dato base;2020SM41;457
Total Nacional;Total;De 60 a 64 años;Dato base;2020SM40;408
Total Nacional;Total;De 60 a 64 años;Dato base;2020SM39;393
Total Nacional;Total;De 60 a 64 años;Dato base;2020SM38;364
Total Nacional;Total;De 60 a 64 años;Dato base;2020SM37;410
Total Nacional;Total;De 60 a 64 años;Dato base;2020SM36;385
Total Nacional;Total;De 60 a 64 años;Dato base;2020SM35;403
Total Nacional;Total;De 60 a 64 años;Dato base;2020SM34;389
Total Nacional;Total;De 60 a 64 años;Dato base;2020SM33;389
Total Nacional;Total;De 60 a 64 años;Dato base;2020SM32;380
Total Nacional;Total;De 60 a 64 años;Dato base;2020SM31;385
Total Nacional;Total;De 60 a 64 años;Dato base;2020SM30;398
Total Nacional;Total;De 60 a 64 años;Dato base;2020SM29;349
Total Nacional;Total;De 60 a 64 años;Dato base;2020SM28;355
Total Nacional;Total;De 60 a 64 años;Dato base;2020SM27;401
Total Nacional;Total;De 60 a 64 años;Dato base;2020SM26;369
Total Nacional;Total;De 60 a 64 años;Dato base;2020SM25;319
Total Nacional;Total;De 60 a 64 años;Dato base;2020SM24;349
Total Nacional;Total;De 60 a 64 años;Dato base;2020SM23;343
Total Nacional;Total;De 60 a 64 años;Dato base;2020SM22;336
Total Nacional;Total;De 60 a 64 años;Dato base;2020SM21;394
Total Nacional;Total;De 60 a 64 años;Dato base;2020SM20;374
Total Nacional;Total;De 60 a 64 años;Dato base;2020SM19;396
Total Nacional;Total;De 60 a 64 años;Dato base;2020SM18;412
Total Nacional;Total;De 60 a 64 años;Dato base;2020SM17;416
Total Nacional;Total;De 60 a 64 años;Dato base;2020SM16;486
Total Nacional;Total;De 60 a 64 años;Dato base;2020SM15;504
Total Nacional;Total;De 60 a 64 años;Dato base;2020SM14;675
Total Nacional;Total;De 60 a 64 años;Dato base;2020SM13;698
Total Nacional;Total;De 60 a 64 años;Dato base;2020SM12;455
Total Nacional;Total;De 60 a 64 años;Dato base;2020SM11;422
Total Nacional;Total;De 60 a 64 años;Dato base;2020SM10;378
Total Nacional;Total;De 60 a 64 años;Dato base;2020SM09;369
Total Nacional;Total;De 60 a 64 años;Dato base;2020SM08;360
Total Nacional;Total;De 60 a 64 años;Dato base;2020SM07;379
Total Nacional;Total;De 60 a 64 años;Dato base;2020SM06;414
Total Nacional;Total;De 60 a 64 años;Dato base;2020SM05;459
Total Nacional;Total;De 60 a 64 años;Dato base;2020SM04;412
Total Nacional;Total;De 60 a 64 años;Dato base;2020SM03;416
Total Nacional;Total;De 60 a 64 años;Dato base;2020SM02;384
Total Nacional;Total;De 60 a 64 años;Dato base;2020SM01;389
Total Nacional;Total;De 65 a 69 años;Dato base;2020SM53;526
Total Nacional;Total;De 65 a 69 años;Dato base;2020SM52;503
Total Nacional;Total;De 65 a 69 años;Dato base;2020SM51;585
Total Nacional;Total;De 65 a 69 años;Dato base;2020SM50;576
Total Nacional;Total;De 65 a 69 años;Dato base;2020SM49;629
Total Nacional;Total;De 65 a 69 años;Dato base;2020SM48;573
Total Nacional;Total;De 65 a 69 años;Dato base;2020SM47;560
Total Nacional;Total;De 65 a 69 años;Dato base;2020SM46;576
Total Nacional;Total;De 65 a 69 años;Dato base;2020SM45;576
Total Nacional;Total;De 65 a 69 años;Dato base;2020SM44;583
Total Nacional;Total;De 65 a 69 años;Dato base;2020SM43;579
Total Nacional;Total;De 65 a 69 años;Dato base;2020SM42;518
Total Nacional;Total;De 65 a 69 años;Dato base;2020SM41;531
Total Nacional;Total;De 65 a 69 años;Dato base;2020SM40;540
Total Nacional;Total;De 65 a 69 años;Dato base;2020SM39;493
Total Nacional;Total;De 65 a 69 años;Dato base;2020SM38;483
Total Nacional;Total;De 65 a 69 años;Dato base;2020SM37;446
Total Nacional;Total;De 65 a 69 años;Dato base;2020SM36;465
Total Nacional;Total;De 65 a 69 años;Dato base;2020SM35;477
Total Nacional;Total;De 65 a 69 años;Dato base;2020SM34;437
Total Nacional;Total;De 65 a 69 años;Dato base;2020SM33;495
Total Nacional;Total;De 65 a 69 años;Dato base;2020SM32;473
Total Nacional;Total;De 65 a 69 años;Dato base;2020SM31;477
Total Nacional;Total;De 65 a 69 años;Dato base;2020SM30;452
Total Nacional;Total;De 65 a 69 años;Dato base;2020SM29;481
Total Nacional;Total;De 65 a 69 años;Dato base;2020SM28;480
Total Nacional;Total;De 65 a 69 años;Dato base;2020SM27;497
Total Nacional;Total;De 65 a 69 años;Dato base;2020SM26;417
Total Nacional;Total;De 65 a 69 años;Dato base;2020SM25;431
Total Nacional;Total;De 65 a 69 años;Dato base;2020SM24;385
Total Nacional;Total;De 65 a 69 años;Dato base;2020SM23;436
Total Nacional;Total;De 65 a 69 años;Dato base;2020SM22;458
Total Nacional;Total;De 65 a 69 años;Dato base;2020SM21;456
Total Nacional;Total;De 65 a 69 años;Dato base;2020SM20;422
Total Nacional;Total;De 65 a 69 años;Dato base;2020SM19;478
Total Nacional;Total;De 65 a 69 años;Dato base;2020SM18;486
Total Nacional;Total;De 65 a 69 años;Dato base;2020SM17;540
Total Nacional;Total;De 65 a 69 años;Dato base;2020SM16;608
Total Nacional;Total;De 65 a 69 años;Dato base;2020SM15;764
Total Nacional;Total;De 65 a 69 años;Dato base;2020SM14;940
Total Nacional;Total;De 65 a 69 años;Dato base;2020SM13;1.019
Total Nacional;Total;De 65 a 69 años;Dato base;2020SM12;638
Total Nacional;Total;De 65 a 69 años;Dato base;2020SM11;514
Total Nacional;Total;De 65 a 69 años;Dato base;2020SM10;481
Total Nacional;Total;De 65 a 69 años;Dato base;2020SM09;469
Total Nacional;Total;De 65 a 69 años;Dato base;2020SM08;453
Total Nacional;Total;De 65 a 69 años;Dato base;2020SM07;477
Total Nacional;Total;De 65 a 69 años;Dato base;2020SM06;517
Total Nacional;Total;De 65 a 69 años;Dato base;2020SM05;530
Total Nacional;Total;De 65 a 69 años;Dato base;2020SM04;548
Total Nacional;Total;De 65 a 69 años;Dato base;2020SM03;536
Total Nacional;Total;De 65 a 69 años;Dato base;2020SM02;516
Total Nacional;Total;De 65 a 69 años;Dato base;2020SM01;479
Total Nacional;Total;De 70 a 74 años  ;Dato base;2020SM53;774
Total Nacional;Total;De 70 a 74 años  ;Dato base;2020SM52;760
Total Nacional;Total;De 70 a 74 años  ;Dato base;2020SM51;768
Total Nacional;Total;De 70 a 74 años  ;Dato base;2020SM50;813
Total Nacional;Total;De 70 a 74 años  ;Dato base;2020SM49;788
Total Nacional;Total;De 70 a 74 años  ;Dato base;2020SM48;808
Total Nacional;Total;De 70 a 74 años  ;Dato base;2020SM47;815
Total Nacional;Total;De 70 a 74 años  ;Dato base;2020SM46;840
Total Nacional;Total;De 70 a 74 años  ;Dato base;2020SM45;840
Total Nacional;Total;De 70 a 74 años  ;Dato base;2020SM44;793
Total Nacional;Total;De 70 a 74 años  ;Dato base;2020SM43;783
Total Nacional;Total;De 70 a 74 años  ;Dato base;2020SM42;724
Total Nacional;Total;De 70 a 74 años  ;Dato base;2020SM41;716
Total Nacional;Total;De 70 a 74 años  ;Dato base;2020SM40;668
Total Nacional;Total;De 70 a 74 años  ;Dato base;2020SM39;666
Total Nacional;Total;De 70 a 74 años  ;Dato base;2020SM38;700
Total Nacional;Total;De 70 a 74 años  ;Dato base;2020SM37;666
Total Nacional;Total;De 70 a 74 años  ;Dato base;2020SM36;656
Total Nacional;Total;De 70 a 74 años  ;Dato base;2020SM35;637
Total Nacional;Total;De 70 a 74 años  ;Dato base;2020SM34;631
Total Nacional;Total;De 70 a 74 años  ;Dato base;2020SM33;643
Total Nacional;Total;De 70 a 74 años  ;Dato base;2020SM32;631
Total Nacional;Total;De 70 a 74 años  ;Dato base;2020SM31;646
Total Nacional;Total;De 70 a 74 años  ;Dato base;2020SM30;593
Total Nacional;Total;De 70 a 74 años  ;Dato base;2020SM29;613
Total Nacional;Total;De 70 a 74 años  ;Dato base;2020SM28;612
Total Nacional;Total;De 70 a 74 años  ;Dato base;2020SM27;627
Total Nacional;Total;De 70 a 74 años  ;Dato base;2020SM26;604
Total Nacional;Total;De 70 a 74 años  ;Dato base;2020SM25;540
Total Nacional;Total;De 70 a 74 años  ;Dato base;2020SM24;548
Total Nacional;Total;De 70 a 74 años  ;Dato base;2020SM23;609
Total Nacional;Total;De 70 a 74 años  ;Dato base;2020SM22;557
Total Nacional;Total;De 70 a 74 años  ;Dato base;2020SM21;625
Total Nacional;Total;De 70 a 74 años  ;Dato base;2020SM20;612
Total Nacional;Total;De 70 a 74 años  ;Dato base;2020SM19;687
Total Nacional;Total;De 70 a 74 años  ;Dato base;2020SM18;709
Total Nacional;Total;De 70 a 74 años  ;Dato base;2020SM17;769
Total Nacional;Total;De 70 a 74 años  ;Dato base;2020SM16;900
Total Nacional;Total;De 70 a 74 años  ;Dato base;2020SM15;1.189
Total Nacional;Total;De 70 a 74 años  ;Dato base;2020SM14;1.540
Total Nacional;Total;De 70 a 74 años  ;Dato base;2020SM13;1.717
Total Nacional;Total;De 70 a 74 años  ;Dato base;2020SM12;1.047
Total Nacional;Total;De 70 a 74 años  ;Dato base;2020SM11;753
Total Nacional;Total;De 70 a 74 años  ;Dato base;2020SM10;646
Total Nacional;Total;De 70 a 74 años  ;Dato base;2020SM09;611
Total Nacional;Total;De 70 a 74 años  ;Dato base;2020SM08;662
Total Nacional;Total;De 70 a 74 años  ;Dato base;2020SM07;688
Total Nacional;Total;De 70 a 74 años  ;Dato base;2020SM06;688
Total Nacional;Total;De 70 a 74 años  ;Dato base;2020SM05;707
Total Nacional;Total;De 70 a 74 años  ;Dato base;2020SM04;799
Total Nacional;Total;De 70 a 74 años  ;Dato base;2020SM03;763
Total Nacional;Total;De 70 a 74 años  ;Dato base;2020SM02;673
Total Nacional;Total;De 70 a 74 años  ;Dato base;2020SM01;700
Total Nacional;Total;De 75 a 79 años  ;Dato base;2020SM53;1.024
Total Nacional;Total;De 75 a 79 años  ;Dato base;2020SM52;973
Total Nacional;Total;De 75 a 79 años  ;Dato base;2020SM51;972
Total Nacional;Total;De 75 a 79 años  ;Dato base;2020SM50;995
Total Nacional;Total;De 75 a 79 años  ;Dato base;2020SM49;1.033
Total Nacional;Total;De 75 a 79 años  ;Dato base;2020SM48;1.067
Total Nacional;Total;De 75 a 79 años  ;Dato base;2020SM47;1.109
Total Nacional;Total;De 75 a 79 años  ;Dato base;2020SM46;1.078
Total Nacional;Total;De 75 a 79 años  ;Dato base;2020SM45;1.133
Total Nacional;Total;De 75 a 79 años  ;Dato base;2020SM44;1.133
Total Nacional;Total;De 75 a 79 años  ;Dato base;2020SM43;1.012
Total Nacional;Total;De 75 a 79 años  ;Dato base;2020SM42;956
Total Nacional;Total;De 75 a 79 años  ;Dato base;2020SM41;947
Total Nacional;Total;De 75 a 79 años  ;Dato base;2020SM40;898
Total Nacional;Total;De 75 a 79 años  ;Dato base;2020SM39;945
Total Nacional;Total;De 75 a 79 años  ;Dato base;2020SM38;874
Total Nacional;Total;De 75 a 79 años  ;Dato base;2020SM37;904
Total Nacional;Total;De 75 a 79 años  ;Dato base;2020SM36;834
Total Nacional;Total;De 75 a 79 años  ;Dato base;2020SM35;887
Total Nacional;Total;De 75 a 79 años  ;Dato base;2020SM34;826
Total Nacional;Total;De 75 a 79 años  ;Dato base;2020SM33;866
Total Nacional;Total;De 75 a 79 años  ;Dato base;2020SM32;906
Total Nacional;Total;De 75 a 79 años  ;Dato base;2020SM31;892
Total Nacional;Total;De 75 a 79 años  ;Dato base;2020SM30;836
Total Nacional;Total;De 75 a 79 años  ;Dato base;2020SM29;812
Total Nacional;Total;De 75 a 79 años  ;Dato base;2020SM28;817
Total Nacional;Total;De 75 a 79 años  ;Dato base;2020SM27;780
Total Nacional;Total;De 75 a 79 años  ;Dato base;2020SM26;787
Total Nacional;Total;De 75 a 79 años  ;Dato base;2020SM25;713
Total Nacional;Total;De 75 a 79 años  ;Dato base;2020SM24;722
Total Nacional;Total;De 75 a 79 años  ;Dato base;2020SM23;709
Total Nacional;Total;De 75 a 79 años  ;Dato base;2020SM22;762
Total Nacional;Total;De 75 a 79 años  ;Dato base;2020SM21;800
