Provincias;Sexo;Edad (grupos quinquenales);Tipo de dato;Periodo;Total
Total Nacional;Total;De 5 a 9 años;Dato base;2020SM11;2
Total Nacional;Total;De 5 a 9 años;Dato base;2020SM10;2
Total Nacional;Total;De 5 a 9 años;Dato base;2020SM09;0
Total Nacional;Total;De 5 a 9 años;Dato base;2020SM08;4
Total Nacional;Total;De 5 a 9 años;Dato base;2020SM07;3
Total Nacional;Total;De 5 a 9 años;Dato base;2020SM06;6
Total Nacional;Total;De 5 a 9 años;Dato base;2020SM05;6
Total Nacional;Total;De 5 a 9 años;Dato base;2020SM04;6
Total Nacional;Total;De 5 a 9 años;Dato base;2020SM03;4
Total Nacional;Total;De 5 a 9 años;Dato base;2020SM02;3
Total Nacional;Total;De 5 a 9 años;Dato base;2020SM01;2
Total Nacional;Total;De 10 a 14 años  ;Dato base;2020SM53;7
Total Nacional;Total;De 10 a 14 años  ;Dato base;2020SM52;5
Total Nacional;Total;De 10 a 14 años  ;Dato base;2020SM51;3
Total Nacional;Total;De 10 a 14 años  ;Dato base;2020SM50;3
Total Nacional;Total;De 10 a 14 años  ;Dato base;2020SM49;2
Total Nacional;Total;De 10 a 14 años  ;Dato base;2020SM48;2
Total Nacional;Total;De 10 a 14 años  ;Dato base;2020SM47;2
Total Nacional;Total;De 10 a 14 años  ;Dato base;2020SM46;4
Total Nacional;Total;De 10 a 14 años  ;Dato base;2020SM45;5
Total Nacional;Total;De 10 a 14 años  ;Dato base;2020SM44;2
Total Nacional;Total;De 10 a 14 años  ;Dato base;2020SM43;8
Total Nacional;Total;De 10 a 14 años  ;Dato base;2020SM42;4
Total Nacional;Total;De 10 a 14 años  ;Dato base;2020SM41;6
Total Nacional;Total;De 10 a 14 años  ;Dato base;2020SM40;3
Total Nacional;Total;De 10 a 14 años  ;Dato base;2020SM39;3
Total Nacional;Total;De 10 a 14 años  ;Dato base;2020SM38;5
Total Nacional;Total;De 10 a 14 años  ;Dato base;2020SM37;4
Total Nacional;Total;De 10 a 14 años  ;Dato base;2020SM36;5
Total Nacional;Total;De 10 a 14 años  ;Dato base;2020SM35;5
Total Nacional;Total;De 10 a 14 años  ;Dato base;2020SM34;8
Total Nacional;Total;De 10 a 14 años  ;Dato base;2020SM33;4
Total Nacional;Total;De 10 a 14 años  ;Dato base;2020SM32;5
Total Nacional;Total;De 10 a 14 años  ;Dato base;2020SM31;2
Total Nacional;Total;De 10 a 14 años  ;Dato base;2020SM30;5
Total Nacional;Total;De 10 a 14 años  ;Dato base;2020SM29;2
Total Nacional;Total;De 10 a 14 años  ;Dato base;2020SM28;2
Total Nacional;Total;De 10 a 14 años  ;Dato base;2020SM27;4
Total Nacional;Total;De 10 a 14 años  ;Dato base;2020SM26;4
Total Nacional;Total;De 10 a 14 años  ;Dato base;2020SM25;3
Total Nacional;Total;De 10 a 14 años  ;Dato base;2020SM24;2
Total Nacional;Total;De 10 a 14 años  ;Dato base;2020SM23;2
Total Nacional;Total;De 10 a 14 años  ;Dato base;2020SM22;4
Total Nacional;Total;De 10 a 14 años  ;Dato base;2020SM21;5
Total Nacional;Total;De 10 a 14 años  ;Dato base;2020SM20;3
Total Nacional;Total;De 10 a 14 años  ;Dato base;2020SM19;0
Total Nacional;Total;De 10 a 14 años  ;Dato base;2020SM18;5
Total Nacional;Total;De 10 a 14 años  ;Dato base;2020SM17;3
Total Nacional;Total;De 10 a 14 años  ;Dato base;2020SM16;4
Total Nacional;Total;De 10 a 14 años  ;Dato base;2020SM15;4
Total Nacional;Total;De 10 a 14 años  ;Dato base;2020SM14;1
Total Nacional;Total;De 10 a 14 años  ;Dato base;2020SM13;7
Total Nacional;Total;De 10 a 14 años  ;Dato base;2020SM12;3
Total Nacional;Total;De 10 a 14 años  ;Dato base;2020SM11;3
Total Nacional;Total;De 10 a 14 años  ;Dato base;2020SM10;4
Total Nacional;Total;De 10 a 14 años  ;Dato base;2020SM09;1
Total Nacional;Total;De 10 a 14 años  ;Dato base;2020SM08;0
Total Nacional;Total;De 10 a 14 años  ;Dato base;2020SM07;0
Total Nacional;Total;De 10 a 14 años  ;Dato base;2020SM06;3
Total Nacional;Total;De 10 a 14 años  ;Dato base;2020SM05;2
Total Nacional;Total;De 10 a 14 años  ;Dato base;2020SM04;6
Total Nacional;Total;De 10 a 14 años  ;Dato base;2020SM03;3
Total Nacional;Total;De 10 a 14 años  ;Dato base;2020SM02;4
Total Nacional;Total;De 10 a 14 años  ;Dato base;2020SM01;3
Total Nacional;Total;De 15 a 19 años  ;Dato base;2020SM53;6
Total Nacional;Total;De 15 a 19 años  ;Dato base;2020SM52;5
Total Nacional;Total;De 15 a 19 años  ;Dato base;2020SM51;6
Total Nacional;Total;De 15 a 19 años  ;Dato base;2020SM50;9
Total Nacional;Total;De 15 a 19 años  ;Dato base;2020SM49;7
Total Nacional;Total;De 15 a 19 años  ;Dato base;2020SM48;6
Total Nacional;Total;De 15 a 19 años  ;Dato base;2020SM47;3
Total Nacional;Total;De 15 a 19 años  ;Dato base;2020SM46;5
Total Nacional;Total;De 15 a 19 años  ;Dato base;2020SM45;12
Total Nacional;Total;De 15 a 19 años  ;Dato base;2020SM44;8
Total Nacional;Total;De 15 a 19 años  ;Dato base;2020SM43;13
Total Nacional;Total;De 15 a 19 años  ;Dato base;2020SM42;11
Total Nacional;Total;De 15 a 19 años  ;Dato base;2020SM41;5
Total Nacional;Total;De 15 a 19 años  ;Dato base;2020SM40;5
Total Nacional;Total;De 15 a 19 años  ;Dato base;2020SM39;10
Total Nacional;Total;De 15 a 19 años  ;Dato base;2020SM38;8
Total Nacional;Total;De 15 a 19 años  ;Dato base;2020SM37;8
Total Nacional;Total;De 15 a 19 años  ;Dato base;2020SM36;6
Total Nacional;Total;De 15 a 19 años  ;Dato base;2020SM35;8
Total Nacional;Total;De 15 a 19 años  ;Dato base;2020SM34;6
Total Nacional;Total;De 15 a 19 años  ;Dato base;2020SM33;11
Total Nacional;Total;De 15 a 19 años  ;Dato base;2020SM32;7
Total Nacional;Total;De 15 a 19 años  ;Dato base;2020SM31;7
Total Nacional;Total;De 15 a 19 años  ;Dato base;2020SM30;9
Total Nacional;Total;De 15 a 19 años  ;Dato base;2020SM29;11
Total Nacional;Total;De 15 a 19 años  ;Dato base;2020SM28;4
Total Nacional;Total;De 15 a 19 años  ;Dato base;2020SM27;10
Total Nacional;Total;De 15 a 19 años  ;Dato base;2020SM26;8
